track_name,artist(s)_name,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,artist_count,released_year,released_month,released_day,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,speechiness_%,liveness_%,key,mode
I Know - PR1SVX Edit,"Kanii, PR1ISVX",407,77377503,16,5,2,2023,3,24,0,15,0,1,134,67,11,76,8,47,7,30,B,Minor
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",5281,609293408,94,80,2,2022,6,3,14,21,15,38,101,74,43,69,12,0,7,12,F,Major
I Love You So,The Walters,7536,972164968,44,135,1,2014,11,28,7,19,0,6,76,58,46,67,65,0,4,13,A#,Major
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",668,140430339,0,31,2,2020,12,18,1,0,0,,125,49,13,74,0,0,4,9,D#,Minor
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",1657,121077868,15,3,2,2022,5,6,0,3,0,0,96,71,37,52,62,0,36,11,B,Major
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,4873,851070493,65,434,1,2021,3,19,0,88,3,13,133,75,96,61,0,0,4,18,C#,Major
I Wanna Be Yours,Arctic Monkeys,12859,1297026226,24,582,1,2013,1,1,110,98,2,73,135,48,44,42,12,2,3,11,,Minor
I Was Never There,"The Weeknd, Gesaffelstein",4188,705469769,30,142,2,2018,3,29,15,70,0,27,114,32,17,74,14,0,3,17,A#,Major
I Wrote The Book,Morgan Wallen,430,83021468,15,0,1,2023,1,31,0,17,0,0,144,68,83,81,9,0,4,8,D,Major
I'm Good (Blue),"Bebe Rexha, David Guetta",12482,1109433169,291,537,2,2022,8,26,80,184,45,727,128,56,38,97,4,0,4,35,G,Minor
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",1890,103787664,86,49,3,2023,1,27,0,1,0,9,115,70,84,90,17,0,6,41,,Major
I'm Not The Only One,Sam Smith,17492,1606986953,136,1959,1,2014,1,1,3,24,0,30,82,68,50,49,56,0,4,8,F,Major
"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,1888,121913181,26,58,1,2022,2,4,0,1,0,0,71,28,26,20,19,0,3,30,,Minor
IDGAF (with blackbear),"Blackbear, BoyWithUke",625,197643795,10,13,2,2022,3,18,0,2,0,1,98,78,83,75,41,0,8,27,F,Major
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",13315,1814349763,300,690,2,2021,7,23,0,47,0,,150,74,89,70,2,0,6,5,D#,Minor
If We Ever Broke Up,Mae Stephens,2040,165584767,81,66,1,2023,2,10,4,27,9,444,116,90,96,73,62,0,4,9,G,Major
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",265,158950978,8,5,2,2022,12,30,6,84,1,4,145,76,80,81,19,0,9,6,E,Minor
In Da Club,50 Cent,30427,1202722675,235,5221,1,2002,1,1,7,106,1,35,90,90,79,71,26,0,37,7,F#,Minor
In My Head,Lil Tjay,1185,190981339,21,31,1,2022,4,1,0,0,0,0,143,68,41,55,16,0,12,10,C#,Major
In The End,Linkin Park,25065,1624165576,63,6808,1,2000,10,24,6,0,2,0,105,55,40,90,1,0,6,32,D#,Minor
In The Stars,Benson Boone,2224,382199619,48,87,1,2022,4,29,8,40,1,210,78,36,30,54,34,0,5,14,A#,Major
Infinity,Jaymes Young,4375,888046992,24,396,1,2017,6,23,0,0,0,0,122,67,50,67,15,0,4,30,B,Minor
Iris,The Goo Goo Dolls,13101,1284942608,137,582,1,1998,3,31,9,5,0,0,156,32,49,72,0,0,4,9,B,Minor
Is There Someone Else?,The Weeknd,2881,391251368,13,34,1,2022,1,7,6,89,0,3,135,70,60,58,4,0,3,16,A,Minor
It'll Be Okay,Shawn Mendes,1950,287201015,56,104,1,2021,12,1,0,8,0,10,78,40,7,29,62,0,3,9,G,Major
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,12353,807561936,35,549,1,2011,10,14,0,0,0,0,93,35,38,23,91,0,3,29,E,Major
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",6290,295998468,89,158,3,1958,1,1,0,39,0,0,113,73,72,32,77,0,5,15,G,Major
It's the Most Wonderful Time of the Year,Andy Williams,8879,663832097,182,160,1,1963,10,14,0,107,0,1,202,24,76,60,77,0,4,12,G,Major
JGL,"Luis R Conriquez, La Adictiva",782,323455692,15,6,2,2022,2,18,9,33,1,0,113,70,97,59,55,0,12,27,G#,Major
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",138,1365184,13,2,6,2022,12,22,4,78,0,0,105,82,62,74,10,0,7,33,G,Major
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",5871,618885532,81,58,2,2022,6,17,27,121,1,34,163,54,40,67,0,0,17,9,,Major
Jingle Bell Rock,Bobby Helms,10326,741301563,165,104,1,1957,1,1,0,99,0,,119,74,78,37,84,0,3,6,D,Major
Jingle Bells - Remastered 1999,Frank Sinatra,4326,178660459,32,65,1,1957,1,1,0,3,0,0,175,51,94,34,73,0,5,10,G#,Major
Jordan,Ryan Castro,2844,394030335,29,35,1,2021,4,30,2,2,1,0,180,80,71,68,6,0,37,10,A#,Minor
Just The Way You Are,Bruno Mars,21106,1641426668,82,2946,1,2010,1,1,13,0,0,0,109,63,46,85,1,0,5,9,F,Major
Just Wanna Rock,Lil Uzi Vert,3995,457184829,72,47,1,2022,10,17,13,27,0,0,150,49,4,55,7,0,3,6,B,Major
KICK BACK,Kenshi Yonezu,574,210038833,38,26,1,2022,10,12,4,101,0,0,102,58,29,94,0,0,11,9,C#,Major
KU LO SA - A COLORS SHOW,Oxlade,2019,222410722,117,107,1,2022,6,10,8,72,1,7,93,65,79,66,31,0,7,22,A#,Minor
Kahani Suno 2.0,Kaifi Khalil,162,156777415,1,1,1,2022,5,31,6,10,0,1,140,58,26,38,91,0,4,10,B,Major
Karma,Taylor Swift,3818,404562836,37,32,1,2022,10,21,23,55,0,272,90,64,10,62,7,0,7,48,G#,Major
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",588,46142772,23,31,2,2023,5,26,0,21,0,0,90,62,7,62,6,0,6,58,G#,Major
Keep Driving,Harry Styles,2094,236060709,8,18,1,2022,5,20,1,1,0,0,165,72,90,48,32,0,23,18,A,Major
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",292,366599607,26,4,3,2022,7,17,6,98,0,0,94,58,44,57,57,0,3,10,,Major
Kill Bill,SZA,8109,1163093654,183,161,1,2022,12,8,77,162,12,187,89,64,43,73,5,17,4,16,G#,Major
Kiss Me More (feat. SZA),"SZA, Doja Cat",15867,1575467011,382,497,2,2021,4,9,0,65,0,12,111,77,74,66,30,0,3,13,G#,Major
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",5199,594482982,45,45,3,2021,9,3,0,43,0,3,146,85,22,37,13,0,30,7,F,Minor
Komang,Raim Laode,158,137123880,5,1,1,2022,8,16,4,6,1,18,134,70,35,41,41,0,3,10,G,Major
LA CANCIï¿½,"J Balvin, Bad Bunny",6398,1435127549,177,305,2,2019,6,28,31,109,3,5,176,75,43,65,15,0,32,11,G,Major
LA FAMA (with The Weeknd),"The Weeknd, ROSALï¿½",4640,374706940,81,507,2,2021,11,11,3,93,6,4,136,77,82,30,95,0,5,13,,Minor
LA INOCENTE,"Feid, Mora",2598,477033549,28,43,2,2022,4,1,37,57,8,85,92,76,46,79,31,0,6,7,F,Minor
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",332,86444842,11,10,3,2023,6,22,26,163,4,0,140,65,87,74,22,0,4,42,F,Minor
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",58,39058561,2,4,2,2023,6,22,18,106,2,184,116,77,79,62,33,1,3,15,B,Major
LALA,Myke Towers,1474,133716286,48,58,1,2023,3,23,48,126,14,382,92,71,61,74,7,0,4,10,C#,Major
LET GO,Central Cee,2301,298063749,49,110,1,2022,12,15,20,23,0,8,146,74,51,45,86,0,38,21,D,Minor
LLYLM,ROSALï¿½,1838,124988687,105,114,1,2023,1,27,0,41,1,59,170,56,56,63,13,0,27,19,F#,Minor
LOKERA,"Brray, Rauw Alejandro, Lyanno",3301,471819764,72,64,3,2022,7,25,30,64,6,3,102,83,58,83,21,0,5,10,B,Minor
LOVE DIVE,IVE,753,305771063,28,13,1,2022,4,5,8,124,0,1,118,70,54,71,0,0,4,33,C#,Minor
LUNA,"Junior H, Peso Pluma",201,55842345,19,8,2,2023,6,22,11,117,1,74,128,75,79,63,33,0,4,15,A,Minor
La Bachata,Manuel Turizo,6804,1214083358,139,161,1,2022,5,26,45,111,15,210,125,84,85,68,58,0,4,22,G,Minor
La Bebe,Yng Lvcas,489,191945597,4,5,1,2021,12,24,17,11,1,2,170,78,75,46,62,0,35,12,D,Minor
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2953,553634067,49,66,2,2023,3,17,44,110,13,339,170,81,56,48,21,0,33,8,D,Minor
La Corriente,"Tony Dize, Bad Bunny",1796,479655659,8,18,2,2022,5,6,8,25,1,0,196,66,58,79,23,0,20,22,B,Minor
La Jumpa,"Arcangel, Bad Bunny",3794,538115192,47,53,2,2022,11,30,34,77,10,8,123,71,58,70,30,0,19,32,G#,Major
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",3559,333146475,36,31,4,2022,5,20,3,1,0,1,170,80,77,85,11,0,14,17,A,Minor
La Loto,"Anitta, Tini, Becky G",945,121189256,49,57,3,2022,7,6,0,3,0,0,90,85,80,83,10,0,11,8,C#,Major
La Santa,"Daddy Yankee, Bad Bunny",4890,759208783,52,100,2,2020,2,29,20,42,0,0,93,74,59,87,3,0,5,8,C#,Major
La Zona,Bad Bunny,1188,312622938,13,15,1,2020,2,29,0,1,0,1,94,76,81,80,20,0,4,25,C#,Minor
Labyrinth,Taylor Swift,1597,187339835,6,15,1,2022,10,21,0,3,0,0,110,48,15,31,80,22,4,12,,Major
Lady Mi Amor,Feid,330,53987404,3,2,1,2022,9,13,0,0,0,0,93,78,75,62,6,0,6,15,D,Major
Las Morras,"BLESSD, Peso Pluma",291,127026613,8,4,2,2023,4,4,8,78,1,1,133,78,90,84,31,0,4,7,A,Minor
Last Christmas,Wham!,22153,1159176109,274,1302,1,1984,1,1,0,111,0,,107,74,88,65,28,0,3,46,B,Minor
Last Last,Burna Boy,4526,293466523,156,150,1,2022,5,12,12,275,3,128,88,80,55,56,13,0,9,8,D#,Minor
Last Night,Morgan Wallen,2420,429829812,52,15,1,2023,1,31,19,107,1,325,204,52,52,68,46,0,4,15,F#,Major
Late Night Talking,Harry Styles,7461,743693613,166,199,1,2022,5,20,8,42,16,58,115,71,90,73,30,0,5,11,A#,Major
Lavender Haze,Taylor Swift,3763,488386797,51,38,1,2022,10,21,8,43,10,1,97,73,10,44,26,0,8,16,A#,Major
Layla,"Schï¿½ï¿½rze, DJ R",832,130419412,18,24,2,2022,3,24,3,124,1,0,140,44,41,92,0,0,7,44,F,Minor
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",4893,651732901,143,110,2,2021,4,28,4,24,0,70,120,72,67,72,0,0,4,13,G,Major
